time_ms,cpu_usage,active_workers,queue_len
14776,280,8,486
14786,280,8,486
14796,280,8,486
14806,280,8,486
14817,280,8,486
14827,280,8,486
14837,280,8,486
14848,280,8,486
14858,280,8,486
14868,280,8,486
14879,280,8,486
14889,280,8,486
14899,280,8,485
14909,280,8,485
14920,280,8,485
14930,280,8,485
14940,280,8,485
14950,280,8,485
14960,280,8,481
14970,280,8,481
14980,280,8,481
14990,280,8,481
15001,280,8,481
15011,280,8,481
15022,280,8,478
15032,280,8,478
15043,280,8,478
15053,280,8,478
15064,280,8,478
15074,280,8,478
15085,280,8,478
15095,280,8,478
15105,280,8,478
15115,280,8,478
15125,280,8,478
15135,280,8,478
15145,280,8,478
15155,280,8,478
15165,280,8,478
15175,280,8,478
15186,280,8,478
15196,280,8,477
15206,280,8,477
15216,280,8,477
15226,280,8,477
15236,280,8,477
15246,280,8,477
15256,280,8,473
15266,280,8,473
15277,280,8,473
15287,280,8,473
15297,280,8,473
15307,280,8,473
15317,280,8,470
15328,280,8,470
15338,280,8,470
15348,280,8,470
15358,280,8,470
15368,280,8,470
15379,280,8,470
15389,280,8,470
15400,280,8,470
15410,280,8,470
15420,280,8,470
15430,280,8,470
15441,280,8,470
15451,280,8,470
15461,280,8,470
15472,280,8,470
15482,280,8,470
15492,280,8,470
15502,280,8,469
15513,280,8,469
15523,280,8,469
15533,280,8,469
15543,280,8,469
15553,280,8,469
15564,280,8,465
15574,280,8,465
15584,280,8,465
15595,280,8,465
15605,280,8,465
15615,280,8,463
15626,280,8,462
15636,280,8,462
15646,280,8,462
15657,280,8,462
15667,280,8,462
15677,280,8,462
15687,280,8,462
15698,280,8,462
15708,280,8,462
15718,280,8,462
15728,280,8,462
15738,280,8,462
15748,280,8,462
15759,280,8,462
15769,280,8,462
15779,280,8,462
15790,280,8,462
15800,280,8,461
15810,280,8,461
15820,280,8,461
15830,280,8,461
15840,280,8,461
15850,280,8,461
15861,280,8,457
15871,280,8,457
15881,280,8,457
15891,280,8,457
15901,280,8,457
15911,280,8,457
15922,280,8,454
15932,280,8,454
15942,280,8,454
15953,280,8,454
15963,280,8,454
15973,280,8,454
15984,280,8,454
15994,280,8,454
16004,280,8,454
16015,280,8,454
16025,280,8,454
16035,280,8,454
16045,280,8,454
16056,280,8,454
16066,280,8,454
16076,280,8,454
16086,280,8,454
16096,280,8,453
16106,280,8,453
16116,280,8,453
16127,280,8,453
16137,280,8,453
16147,280,8,453
16158,280,8,449
16168,280,8,449
16178,280,8,449
16189,280,8,449
16199,280,8,449
16209,280,8,449
16219,280,8,446
16229,280,8,446
16239,280,8,446
16250,280,8,446
